"","id_acidente","codloga","logradouroA","codlogb","logradouroB","alt_num","referencia","data","cod_acid","tipo_acidente","dp","numero_BO","sentido","pista","automovel","moto","onibus","caminhao","bicicleta","moto_taxi","onibus_fretado","onibus_urbano","microonibus","van","vuc","caminhonete","carreta","jipe","outros","sem_informacao","carroca","princ_a","paiA","princ_b","paiB","cod_distrito","distrito","vit_ferida","vit_morta","local","lat","lon"
"10429","D061300873",10622,"JOAQUINA RAMALHO, AV",NA,"",1040,"","03/06/2013 11:00",2,"CO",9,3103," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10622,"JOAQUINA RAMALHO, AV",NA,"",88,"VILA GUILHERME",1,0,"JOAQUINA RAMALHO, AV 1040 SAO PAULO SP",-23.5074507,-46.6052522
"10430","D061301729",17820,"TITO, AV MAL",NA,"",1300,"","03/06/2013 11:21",4,"AT",22,2635," "," ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17820,"TITO, AV MAL",NA,"",53,"MOEMA",1,0,"TITO, AV MAL 1300 SAO PAULO SP",-23.4951972,-46.4338481
"10431","D061300784",161,"ADAO PEREIRA, AV CABO",14741,"MIGUEL DE CASTRO, RUA",0,"","03/06/2013 11:30",4,"AT",87,2808," "," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6939,"FEIZ ZARZUR, RUA COMEN",14741,"MIGUEL DE CASTRO, RUA",64,"PIRITUBA",1,0,"ADAO PEREIRA, AV CABO SAO PAULO SP &  MIGUEL DE CASTRO, RUA SAO PAULO SP",-23.4818824,-46.7173237
"10434","D061301299",6932,"FEIJO, AV REG",NA,"",747,"","03/06/2013 11:55",4,"AT",30,2859," "," ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6932,"FEIJO, AV REG",NA,"",1,"AGUA RASA",1,0,"FEIJO, AV REG 747 SAO PAULO SP",-22.9070229,-47.0594055
"10435","D061300917",20878,"LEITAO DE CARVALHO, RUA MAL",NA,"",15,"","03/06/2013 12:09",4,"AT",13,6171," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20878,"LEITAO DE CARVALHO, RUA MAL",NA,"",8,"BELEM",1,0,"LEITAO DE CARVALHO, RUA MAL 15 SAO PAULO SP",-23.5159984,-46.6333767
"10436","D061301329",5425,"COSTA BARROS, RUA",14779,"NOVA IGUACU, RUA",0,"","03/06/2013 12:15",2,"CO",42,1976," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5425,"COSTA BARROS, RUA",14779,"NOVA IGUACU, RUA",95,"VILA PRUDENTE",1,0,"COSTA BARROS, RUA SAO PAULO SP &  NOVA IGUACU, RUA SAO PAULO SP",-23.6047674,-46.5502522
"10437","D061300198",12165,"LUIS ANTONIO, AV BRIG",NA,"",2071,"","03/06/2013 12:25",2,"CO",78,2899," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12165,"LUIS ANTONIO, AV BRIG",NA,"",7,"BELA VISTA",1,0,"LUIS ANTONIO, AV BRIG 2071 SAO PAULO SP",-23.5662658,-46.6479313
"10438","D061300385",609,"ALENCAR ARARIPE, RUA",NA,"",1301,"","03/06/2013 12:28",4,"AT",95,2519," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,"ALENCAR ARARIPE, RUA",NA,"",69,"SACOMA",1,0,"ALENCAR ARARIPE, RUA 1301 SAO PAULO SP",-23.618902,-46.5962563
"10439","D061301932",13671,"MATEO BEI, AV",NA,"",2567,"","03/06/2013 12:30",4,"AT",49,7789," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13671,"MATEO BEI, AV",NA,"",75,"SAO MATEUS",1,0,"MATEO BEI, AV 2567 SAO PAULO SP",-23.6040482,-46.4812309
"10440","D061301806",14917,"OLAVO EGIDIO DE SOUZA ARANHA, AV",NA,"",1270,"","03/06/2013 12:30",4,"AT",62,2199," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14917,"OLAVO EGIDIO DE SOUZA ARANHA, AV",NA,"",49,"LIBERDADE",1,0,"OLAVO EGIDIO DE SOUZA ARANHA, AV 1270 SAO PAULO SP",-23.497761,-46.4958407
