"","id_acidente","codloga","logradouroA","codlogb","logradouroB","alt_num","referencia","data","cod_acid","tipo_acidente","dp","numero_BO","sentido","pista","automovel","moto","onibus","caminhao","bicicleta","moto_taxi","onibus_fretado","onibus_urbano","microonibus","van","vuc","caminhonete","carreta","jipe","outros","sem_informacao","carroca","princ_a","paiA","princ_b","paiB","cod_distrito","distrito","vit_ferida","vit_morta","local","lat","lon"
"2288","D021300998",6224,"EDU CHAVES, AV",NA,"",1720,"","10/02/2013 03:00",2,"CO",73,1434," "," ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6224,"EDU CHAVES, AV",NA,"",38,"JACANA",1,0,"EDU CHAVES, AV 1720 SAO PAULO SP",-23.4818473,-46.5664042
"2289","D021301019",16838,"RAIMUNDO PEREIRA DE MAGAL., AV",NA,"",11823,"","10/02/2013 05:00",2,"CO",74,1222," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16838,"RAIMUNDO PEREIRA DE MAGAL., AV",NA,"",31,"GUAIANASES",1,0,"RAIMUNDO PEREIRA DE MAGAL., AV 11823 SAO PAULO SP",-23.4386796,-46.7215212
"2291","D021301627",60440,"ALFREDO SILVEIRA, RUA",NA,"",160,"","10/02/2013 05:30",2,"CH",41,900013," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60440,"ALFREDO SILVEIRA, RUA",NA,"",27,"CURSINO",2,0,"ALFREDO SILVEIRA, RUA 160 SAO PAULO SP",-23.5840338,-46.513019
"2293","D021300951",21310,"ANTONIO MARIA LAET, AV DR",11680,"LEAO PERUCHE, RUA PDE",0,"","10/02/2013 05:30",2,"CO",39,1421," "," ",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11680,"LEAO PERUCHE, RUA PDE",21310,"ANTONIO MARIA LAET, AV DR",84,"TUCURUVI",1,0,"ANTONIO MARIA LAET, AV DR SAO PAULO SP &  LEAO PERUCHE, RUA PDE SAO PAULO SP",-23.478224,-46.6024661
"2294","D021300723",11780,"LEOPOLDINA, AV IMP",13854,"MERGENTHALER, RUA",0,"","10/02/2013 06:25",2,"CO",91,989," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11780,"LEOPOLDINA, AV IMP",13854,"MERGENTHALER, RUA",90,"VILA LEOPOLDINA",2,0,"LEOPOLDINA, AV IMP SAO PAULO SP &  MERGENTHALER, RUA SAO PAULO SP",-23.5505199,-46.6333094
"2295","D021300900",15188,"OTAVIANO ALVES DE LIMA, AV",NA,"",4382,"","10/02/2013 06:58",2,"CH",28,1464," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29772,"MARGINAL DO RIO TIETE, AV",NA,"",23,"CIDADE DUTRA",2,0,"OTAVIANO ALVES DE LIMA, AV 4382 SAO PAULO SP",-23.5076035,-46.6921131
"2296","D021301786",17824,"SAPOPEMBA, AV",22241,"EGIDIO ALVES DA COSTA, RUA",0,"","10/02/2013 07:12",2,"CT",70,1387," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17824,"SAPOPEMBA, AV",22241,"EGIDIO ALVES DA COSTA, RUA",NA,"",2,0,"SAPOPEMBA, AV SAO PAULO SP &  EGIDIO ALVES DA COSTA, RUA SAO PAULO SP",-23.6148326,-46.5024993
"2297","D021301263",34128,"JOAO DE LUCA, AV VER",NA,"",1741,"","10/02/2013 07:33",2,"CO",43,900019," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34128,"JOAO DE LUCA, AV VER",NA,"",42,"JARDIM ANGELA",1,0,"JOAO DE LUCA, AV VER 1741 SAO PAULO SP",-23.6574121,-46.6645454
"2298","D021300870",3813,"CAETANO ALVARES, AV ENG",NA,"",5746,"","10/02/2013 08:00",2,"CO",20,1451," "," ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3813,"CAETANO ALVARES, AV ENG",NA,"",21,"CASA VERDE",1,0,"CAETANO ALVARES, AV ENG 5746 SAO PAULO SP",-23.4831194,-46.6342918
"2299","D021301305",38463,"SCHMIDT, ES DO",NA,"",485,"","10/02/2013 08:41",2,"CF",85,1019," "," ",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38463,"SCHMIDT, ES DO",NA,"",32,"IGUATEMI",3,0,"SCHMIDT, ES DO 485 SAO PAULO SP",-23.5505199,-46.6333094
"2301","D021300972",45034,"CELSO GILBERTO DE OLIVEIRA, PC",34562,"JOAO PAULO I, AV",0,"","10/02/2013 09:30",2,"CO",45,1234," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34562,"JOAO PAULO I, AV",45034,"CELSO GILBERTO DE OLIVEIRA, PC",11,"BRASILANDIA",3,0,"CELSO GILBERTO DE OLIVEIRA, PC SAO PAULO SP &  JOAO PAULO I, AV SAO PAULO SP",-23.474024,-46.6839851
"2303","D021301314",70322,"CANDIDO JOSE XAVIER, AV",NA,"",109,"","10/02/2013 12:02",2,"CO",92,910," "," ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70322,"CANDIDO JOSE XAVIER, AV",NA,"",32,"IGUATEMI",1,0,"CANDIDO JOSE XAVIER, AV 109 SAO PAULO SP",-23.6616467,-46.753184
"2304","D021301744",2181,"ARICANDUVA, AV",NA,"",5535,"","10/02/2013 13:00",2,"CO",66,879," "," ",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2181,"ARICANDUVA, AV",NA,"",60,"PENHA",1,0,"ARICANDUVA, AV 5535 SAO PAULO SP",-23.561081,-46.5113375
"2305","D021301566",3994,"CAMPANELLA, AV",NA,"",600,"","10/02/2013 13:00",2,"CO",64,1475," "," ",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3994,"CAMPANELLA, AV",NA,"",36,"ITAQUERA",1,0,"CAMPANELLA, AV 600 SAO PAULO SP",-23.5363816,-46.4687434
"2306","D021301585",9580,"ITAQUERA, AV",11830,"LIDER, AV",0,"","10/02/2013 13:30",2,"CF",65,1051," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9580,"ITAQUERA, AV",11830,"LIDER, AV",24,"CIDADE LIDER",2,0,"ITAQUERA, AV SAO PAULO SP &  LIDER, AV SAO PAULO SP",-23.5540176,-46.4897549
"2307","D021301070",15304,"PAES DE BARROS, AV",11265,"JUVENTUS, RUA",0,"","10/02/2013 13:54",2,"CT",18,861," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11265,"JUVENTUS, RUA",15304,"PAES DE BARROS, AV",54,"MOOCA",1,0,"PAES DE BARROS, AV SAO PAULO SP &  JUVENTUS, RUA SAO PAULO SP",-23.5743005,-46.5876557
"2309","D021301161",8827,"HONORIO MAIA, RUA",20880,"AIAMA, RUA",0,"","10/02/2013 14:42",2,"CH",52,1635," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8827,"HONORIO MAIA, RUA",20880,"AIAMA, RUA",82,"TATUAPE",2,0,"HONORIO MAIA, RUA SAO PAULO SP &  AIAMA, RUA SAO PAULO SP",-23.5344023,-46.5577093
"2310","D021301259",41079,"LUIGI PALMA, PCA",NA,"",2000,"","10/02/2013 15:25",4,"AT",43,1576," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41079,"LUIGI PALMA, PCA",NA,"",29,"FREGUESIA DO O",1,0,"LUIGI PALMA, PCA 2000 SAO PAULO SP",-23.6609159,-46.6631344
"2311","D021300678",7365,"FRANCISCO BRAGA, RUA",NA,"",259,"","10/02/2013 15:28",4,"AT",87,1262," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7365,"FRANCISCO BRAGA, RUA",NA,"",64,"PIRITUBA",1,0,"FRANCISCO BRAGA, RUA 259 SAO PAULO SP",-23.4877772,-46.7157255
"2312","D021301848",7365,"FRANCISCO BRAGA, RUA",NA,"",259,"","10/02/2013 15:28",4,"AT",14,2229," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7365,"FRANCISCO BRAGA, RUA",NA,"",64,"PIRITUBA",0,1,"FRANCISCO BRAGA, RUA 259 SAO PAULO SP",-23.4877772,-46.7157255
"2313","D021301515",62102,"SOL DA MEIA NOITE, RUA",NA,"",885,"","10/02/2013 15:50",2,"CO",59,1768," "," ",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62102,"SOL DA MEIA NOITE, RUA",NA,"",43,"JARDIM HELENA",2,0,"SOL DA MEIA NOITE, RUA 885 SAO PAULO SP",-23.4852778,-46.4129748
"2315","D021300977",3771,"INAJAR DE SOUZA, AV",NA,"",3028,"","10/02/2013 17:40",2,"CT",72,1292," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3771,"INAJAR DE SOUZA, AV",NA,"",50,"LIMAO",1,0,"INAJAR DE SOUZA, AV 3028 SAO PAULO SP",-23.482333,-46.6763751
"2318","D021301547",2429,"ASSIS RIBEIRO, RUA DR",NA,"",8760,"","10/02/2013 21:00",4,"AT",63,994," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429,"ASSIS RIBEIRO, RUA DR",NA,"",28,"ERMELINO MATARA",1,0,"ASSIS RIBEIRO, RUA DR 8760 SAO PAULO SP",-23.4837288,-46.4738419
"2319","D021300427",16686,"PURPURINA, RUA",7106,"FIDALGA, RUA",0,"","10/02/2013 21:05",4,"AT",14,1294," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7106,"FIDALGA, RUA",16686,"PURPURINA, RUA",63,"PINHEIROS",1,0,"PURPURINA, RUA SAO PAULO SP &  FIDALGA, RUA SAO PAULO SP",-23.5543413,-46.6922211
"2320","D021301157",3816,"CAETANO DE CAMPOS, RUA",NA,"",191,"","10/02/2013 21:30",2,"CO",52,879," "," ",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3816,"CAETANO DE CAMPOS, RUA",NA,"",82,"TATUAPE",1,0,"CAETANO DE CAMPOS, RUA 191 SAO PAULO SP",-23.5274568,-46.5601638
"2321","D021301601",70063,"CABRAL DE ATAIDE, RUA",NA,"",189,"","10/02/2013 21:35",2,"CO",68,1767," "," ",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70063,"CABRAL DE ATAIDE, RUA",NA,"",50,"LIMAO",2,0,"CABRAL DE ATAIDE, RUA 189 SAO PAULO SP",-23.5396976,-46.3976424
"2322","D021300973",17554,"SABAO, ES DO",NA,"",1494,"","10/02/2013 21:45",2,"CO",45,1248," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17554,"SABAO, ES DO",NA,"",40,"JAGUARE",1,0,"SABAO, ES DO 1494 SAO PAULO SP",-23.5505199,-46.6333094
"2323","D021300428",2149,"ARCOVERDE, RUA CARD",15114,"OSCAR FREIRE, RUA",0,"","10/02/2013 21:45",2,"CH",14,1296," "," ",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2149,"ARCOVERDE, RUA CARD",15114,"OSCAR FREIRE, RUA",44,"JARDIM PAULISTA",1,0,"ARCOVERDE, RUA CARD SAO PAULO SP &  OSCAR FREIRE, RUA SAO PAULO SP",-23.5692822,-46.694879
"2324","D021301814",16686,"PURPURINA, RUA",7106,"FIDALGA, RUA",0,"","10/02/2013 21:50",4,"AT",14,1587," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7106,"FIDALGA, RUA",16686,"PURPURINA, RUA",63,"PINHEIROS",0,1,"PURPURINA, RUA SAO PAULO SP &  FIDALGA, RUA SAO PAULO SP",-23.5543413,-46.6922211
"2326","D021301381",14743,"SABARA, AV NSRA DO",NA,"",2058,"","10/02/2013 22:00",2,"CO",99,1591," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14743,"SABARA, AV NSRA DO",NA,"",16,"CAMPO GRANDE",1,0,"SABARA, AV NSRA DO 2058 SAO PAULO SP",-23.5505199,-46.6333094
"2327","D021301454",30586,"GUAPIMIRIM, RUA",11928,"ALMERINDO ALZIRO PAGANINI, RUA",0,"","10/02/2013 22:05",2,"CO",24,1494," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11928,"ALMERINDO ALZIRO PAGANINI, RUA",30586,"GUAPIMIRIM, RUA",65,"PONTE RASA",1,0,"GUAPIMIRIM, RUA SAO PAULO SP &  ALMERINDO ALZIRO PAGANINI, RUA SAO PAULO SP",-23.5163632,-46.5035979
"2328","D021301788",75274,"PLANURA, RUA",NA,"",95,"","10/02/2013 22:20",2,"CH",70,1407," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75274,"PLANURA, RUA",NA,"",56,"PARELHEIROS",1,0,"PLANURA, RUA 95 SAO PAULO SP",-23.6110565,-46.5192225
"2329","D021300299",9715,"JABAQUARA, AV",19100,"BANDEIRANTES, AV DOS",0,"","10/02/2013 22:50",2,"CO",35,1456," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9715,"JABAQUARA, AV",19100,"BANDEIRANTES, AV DOS",79,"SAUDE",3,0,"JABAQUARA, AV SAO PAULO SP &  BANDEIRANTES, AV DOS SAO PAULO SP",-23.6202152,-46.6396897
"2330","D021301213",6371,"ELISABETH DE ROBIANO, AV CDSSA",NA,"",17000,"","10/02/2013 23:00",2,"CO",81,769," "," ",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29772,"MARGINAL DO RIO TIETE, AV",NA,"",82,"TATUAPE",1,0,"ELISABETH DE ROBIANO, AV CDSSA 17000 SAO PAULO SP",-23.5076424,-46.5495997
"2331","D021301847",3771,"INAJAR DE SOUZA, AV",NA,"",1942,"","10/02/2013 23:43",2,"CH",13,1478," "," ",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3771,"INAJAR DE SOUZA, AV",NA,"",50,"LIMAO",1,1,"INAJAR DE SOUZA, AV 1942 SAO PAULO SP",-23.4890818,-46.684024
"2332","D021300063",13141,"MARIA ANTONIA, RUA",5245,"CONSOLACAO, RUA DA",0,"","10/02/2013 23:58",2,"CO",4,1112," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3874,"CAIO PRADO, RUA",5245,"CONSOLACAO, RUA DA",26,"CONSOLACAO",1,0,"MARIA ANTONIA, RUA SAO PAULO SP &  CONSOLACAO, RUA DA SAO PAULO SP",-23.6297659,-46.7202554
"2333","D021301810",9654,"ITUPAVA, RUA",3771,"INAJAR DE SOUZA, AV",0,"","11/02/2013 03:30",2,"CO",77,833," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3771,"INAJAR DE SOUZA, AV",9654,"ITUPAVA, RUA",13,"CACHOEIRINHA",1,1,"ITUPAVA, RUA SAO PAULO SP &  INAJAR DE SOUZA, AV SAO PAULO SP",-23.4698537,-46.6708196
"2334","D021300429",8714,"HENRIQUE SCHAUMANN, RUA",33683,"PAULO VI, AV",0,"","11/02/2013 05:10",4,"AT",14,1300," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,"ASIA, RUA",8714,"HENRIQUE SCHAUMANN, RUA",63,"PINHEIROS",1,0,"HENRIQUE SCHAUMANN, RUA SAO PAULO SP &  PAULO VI, AV SAO PAULO SP",-23.5592028,-46.6816806
"2335","D021300177",14947,"OLIMPIO DA SILVEIRA, AV GAL",17418,"ROSA E SILVA, RUA",0,"","11/02/2013 06:00",2,"CO",77,654," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11984,"LOPES DE OLIVEIRA, RUA",14947,"OLIMPIO DA SILVEIRA, AV GAL",70,"SANTA CECILIA",1,0,"OLIMPIO DA SILVEIRA, AV GAL SAO PAULO SP &  ROSA E SILVA, RUA SAO PAULO SP",-23.5320251,-46.6594292
"2336","D021300155",5444,"COSTA VALENTE, RUA DR",4736,"CELSO GARCIA, AV",0,"","11/02/2013 06:22",4,"AT",12,829," "," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4736,"CELSO GARCIA, AV",5444,"COSTA VALENTE, RUA DR",10,"BRAS",1,0,"COSTA VALENTE, RUA DR SAO PAULO SP &  CELSO GARCIA, AV SAO PAULO SP",-23.5399893,-46.6103658
"2337","D021301465",13881,"MIGUEL, AV S",NA,"",1200,"","11/02/2013 07:00",2,"QD",24,2123," "," ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13881,"MIGUEL, AV S",NA,"",65,"PONTE RASA",1,0,"MIGUEL, AV S 1200 SAO PAULO SP",-23.5141632,-46.5185911
"2338","D021301315",8368,"GUARAPIRANGA, AV",NA,"",1100,"","11/02/2013 07:30",2,"CT",92,917," "," ",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8368,"GUARAPIRANGA, AV",NA,"",45,"JARDIM SAO LUIS",1,0,"GUARAPIRANGA, AV 1100 SAO PAULO SP",-23.6668263,-46.723516
"2340","D021300714",7836,"GASTAO VIDIGAL, AV DR",NA,"",1680,"","11/02/2013 10:50",2,"CO",91,274," "," ",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7836,"GASTAO VIDIGAL, AV DR",NA,"",90,"VILA LEOPOLDINA",1,0,"GASTAO VIDIGAL, AV DR 1680 SAO PAULO SP",-23.5323973,-46.7361245
"2341","D021301469",14093,"CARDON, RUA",NA,"",23,"","11/02/2013 11:25",4,"AT",32,576," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14093,"CARDON, RUA",NA,"",76,"SAO MIGUEL",2,0,"CARDON, RUA 23 SAO PAULO SP",-23.5135129,-46.4331701
"2342","D021300963",15485,"PARAPUA, RUA",NA,"",1146,"","11/02/2013 11:40",2,"SI",45,364," "," ",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15485,"PARAPUA, RUA",NA,"",4,"ARICANDUVA",1,0,"PARAPUA, RUA 1146 SAO PAULO SP",-23.4748648,-46.6901432
"2343","D021301561",21253,"AGUIA DE HAIA, AV",NA,"",914,"","11/02/2013 11:43",2,"QD",64,1198," "," ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21253,"AGUIA DE HAIA, AV",NA,"",0,"NULL",1,0,"AGUIA DE HAIA, AV 914 SAO PAULO SP",-23.5374602,-46.4757627
"2345","D021300529",18255,"SILVIO DANTE BERTACCHI, RUA DR",NA,"",900,"","11/02/2013 12:30",4,"AT",34,868," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18255,"SILVIO DANTE BERTACCHI, RUA DR",NA,"",13,"CACHOEIRINHA",1,0,"SILVIO DANTE BERTACCHI, RUA DR 900 SAO PAULO SP",-23.600417,-46.7333706
"2346","D021300044",17799,"SANTOS DUMONT, AV",6642,"ESTADO, AV DO",0,"","11/02/2013 13:02",4,"AT",2,824," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6642,"ESTADO, AV DO",17799,"SANTOS DUMONT, AV",9,"BOM RETIRO",1,0,"SANTOS DUMONT, AV SAO PAULO SP &  ESTADO, AV DO SAO PAULO SP",-23.5257861,-46.6307889
"2347","D021301297",33098,"HANS CHRISTIAN ANDERSEN, RUA",NA,"",244,"","11/02/2013 13:45",2,"CO",85,357," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33098,"HANS CHRISTIAN ANDERSEN, RUA",NA,"",32,"IGUATEMI",1,0,"HANS CHRISTIAN ANDERSEN, RUA 244 SAO PAULO SP",-23.7590933,-46.7136542
"2348","D021300385",2235,"ARMANDO DE ARRUDA PEREIRA, AV ENG",NA,"",2500,"","11/02/2013 15:00",2,"CO",97,371," "," ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235,"ARMANDO DE ARRUDA PEREIRA, AV ENG",NA,"",37,"JABAQUARA",2,0,"ARMANDO DE ARRUDA PEREIRA, AV ENG 2500 SAO PAULO SP",-23.6511679,-46.6397588
"2350","D021300015",11374,"JUNQUEIRA FREIRE, RUA",NA,"",176,"","11/02/2013 15:30",4,"AT",1,1135," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11374,"JUNQUEIRA FREIRE, RUA",NA,"",80,"SE",1,0,"JUNQUEIRA FREIRE, RUA 176 SAO PAULO SP",-23.5591718,-46.6285078
"2351","D021300392",18379,"VENTURA GARCIA CALDERON, RUA",NA,"",6,"","11/02/2013 15:30",2,"QM",97,1196," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18379,"VENTURA GARCIA CALDERON, RUA",NA,"",42,"JARDIM ANGELA",2,0,"VENTURA GARCIA CALDERON, RUA 6 SAO PAULO SP",-23.6770564,-46.6360387
"2352","D021301490",45755,"VIRGILIO CAMPELO, RUA PE",NA,"",24,"","11/02/2013 15:41",2,"CO",50,1791," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45755,"VIRGILIO CAMPELO, RUA PE",NA,"",35,"ITAIM PAULISTA",1,0,"VIRGILIO CAMPELO, RUA PE 24 SAO PAULO SP",-23.5044287,-46.3789815
"2354","D021301709",99912,"ARROIO SARANDI (SAO MATEUS), RUA",NA,"",500,"","11/02/2013 17:30",2,"CL",54,2023," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99912,"ARROIO SARANDI (SAO MATEUS), RUA",NA,"",25,"CIDADE TIRADENT",1,0,"ARROIO SARANDI (SAO MATEUS), RUA 500 SAO PAULO SP",-23.6373455,-46.6997395
"2355","D021301455",9632,"ITINGUCU, RUA",NA,"",2389,"","11/02/2013 17:40",2,"QD",24,1523," "," ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9632,"ITINGUCU, RUA",NA,"",60,"PENHA",1,0,"ITINGUCU, RUA 2389 SAO PAULO SP",-23.5324811,-46.4945812
"2356","D021301825",9632,"ITINGUCU, RUA",NA,"",2389,"","11/02/2013 17:40",2,"QD",62,768," "," ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9632,"ITINGUCU, RUA",NA,"",60,"PENHA",0,1,"ITINGUCU, RUA 2389 SAO PAULO SP",-23.5324811,-46.4945812
"2357","D021301015",39169,"JOAO AMADO COUTINHO, RUA",NA,"",200,"","11/02/2013 18:00",4,"AT",74,667," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39169,"JOAO AMADO COUTINHO, RUA",NA,"",52,"MARSILAC",1,0,"JOAO AMADO COUTINHO, RUA 200 SAO PAULO SP",-23.4479383,-46.7151014
"2358","D021301000",13822,"MENDES DA ROCHA, AV",9512,"ITAMONTE, RUA",0,"","11/02/2013 18:00",2,"CO",73,1467," "," ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9512,"ITAMONTE, RUA",13822,"MENDES DA ROCHA, AV",94,"VILA MEDEIROS",1,0,"MENDES DA ROCHA, AV SAO PAULO SP &  ITAMONTE, RUA SAO PAULO SP",-23.4817987,-46.5712184
"2359","D021300356",1247,"ANCHIETA, VIA",1532,"OLYMPIA SEMERARO, RUA",0,"","11/02/2013 18:15",2,"CO",95,1198," "," ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1247,"ANCHIETA, VIA",1532,"OLYMPIA SEMERARO, RUA",NA,"",1,0,"ANCHIETA, VIA SAO PAULO SP &  OLYMPIA SEMERARO, RUA SAO PAULO SP",-23.6433577,-46.5860313
"2360","D021301141",10322,"JOAO GRAEBER, RUA",18408,"SOLIDONIO LEITE, RUA",0,"","11/02/2013 18:16",2,"CO",42,887," "," ",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10322,"JOAO GRAEBER, RUA",18408,"SOLIDONIO LEITE, RUA",74,"SAO LUCAS",1,0,"JOAO GRAEBER, RUA SAO PAULO SP &  SOLIDONIO LEITE, RUA SAO PAULO SP",-23.5814891,-46.5478565
"2361","D021300220",12242,"LUIS GOIS, RUA",2692,"BACELAR, RUA DR",0,"","11/02/2013 18:30",2,"CO",16,1897," "," ",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2692,"BACELAR, RUA DR",12242,"LUIS GOIS, RUA",79,"SAUDE",1,0,"LUIS GOIS, RUA SAO PAULO SP &  BACELAR, RUA DR SAO PAULO SP",-23.6039229,-46.6432874
"2362","D021301632",72670,"INACIO MONTEIRO, RUA",NA,"",5900,"","11/02/2013 19:34",2,"CO",44,911,"B"," ",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72670,"INACIO MONTEIRO, RUA",NA,"",50,"LIMAO",1,0,"INACIO MONTEIRO, RUA 5900 SAO PAULO SP",-23.5729469,-46.3940491
"2363","D021301001",7061,"FERNAO DIAS, VIA",NA,"",80,"","11/02/2013 19:40",2,"CF",73,1471," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7061,"FERNAO DIAS, VIA",NA,"",38,"JACANA",2,0,"FERNAO DIAS, VIA 80 SAO PAULO SP",-23.5617654,-46.6954527
"2364","D021301725",14330,"MURITIBA, AV BRA DE",NA,"",1070,"","11/02/2013 20:04",2,"CT",55,2019," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14330,"MURITIBA, AV BRA DE",NA,"",51,"MANDAQUI",1,0,"MURITIBA, AV BRA DE 1070 SAO PAULO SP",-23.6323581,-46.4686881
"2365","D021301346",9997,"JOSE SILVIO DE CAMARGO, RUA DR",NA,"",145,"","11/02/2013 20:30",2,"CF",98,1629," "," ",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9997,"JOSE SILVIO DE CAMARGO, RUA DR",NA,"",59,"PEDREIRA",2,0,"JOSE SILVIO DE CAMARGO, RUA DR 145 SAO PAULO SP",-23.7050137,-46.6277257
"2366","D021301789",78766,"RUPERTO DE JESUS, RUA FREI",NA,"",87,"","11/02/2013 21:43",2,"CO",70,1425," "," ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78766,"RUPERTO DE JESUS, RUA FREI",NA,"",56,"PARELHEIROS",1,0,"RUPERTO DE JESUS, RUA FREI 87 SAO PAULO SP",-23.6048346,-46.5151195
"2367","D021301665",46191,"SINHA MOCA, TR",46192,"CARTA DE ALFORRIA, TR",0,"","11/02/2013 22:45",2,"CO",49,2423," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46191,"SINHA MOCA, TR",46192,"CARTA DE ALFORRIA, TR",32,"IGUATEMI",1,0,"SINHA MOCA, TR SAO PAULO SP &  CARTA DE ALFORRIA, TR SAO PAULO SP",-23.608937,-46.450006
"2368","D021301622",47129,"YRVING BERLIN, RUA",NA,"",4,"","11/02/2013 23:20",2,"QM",41,1426," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47129,"YRVING BERLIN, RUA",NA,"",78,"SAPOPEMBA",2,0,"YRVING BERLIN, RUA 4 SAO PAULO SP",-23.589484,-46.509758
"2369","D021300267",4539,"CASIMIRO DE ABREU, RUA",NA,"",144,"","11/02/2013 23:34",2,"CO",27,1477," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4539,"CASIMIRO DE ABREU, RUA",NA,"",10,"BRAS",1,0,"CASIMIRO DE ABREU, RUA 144 SAO PAULO SP",-23.6302169,-46.6707818
