,id_acidente,codloga,logradouroA,codlogb,logradouroB,alt_num,referencia,data,cod_acid,tipo_acidente,dp,numero_BO,sentido,pista,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_informacao,carroca,princ_a,paiA,princ_b,paiB,cod_distrito,distrito,vit_ferida,vit_morta,local,lat,lon,loc/type,loc/coordinates/0,loc/coordinates/1
12230,D061300535,12165,"LUIS ANTONIO, AV BRIG",8699,"HENRIQUE MARTINS, RUA",0,,27/06/2013 22:49,2,CO,15,6600, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8699,"HENRIQUE MARTINS, RUA",12165,"LUIS ANTONIO, AV BRIG",53,MOEMA,1,0,"LUIS ANTONIO, AV BRIG SAO PAULO SP &  HENRIQUE MARTINS, RUA SAO PAULO SP",-23.5699897,-46.6512614,Point,-46.6512614,-23.5699897
12241,D061300224,12165,"LUIS ANTONIO, AV BRIG",11078,"JOSE MARIA LISBOA, RUA",0,,28/06/2013 07:22,2,CO,78,5665, , ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11078,"JOSE MARIA LISBOA, RUA",12165,"LUIS ANTONIO, AV BRIG",44,JARDIM PAULISTA,1,0,"LUIS ANTONIO, AV BRIG SAO PAULO SP &  JOSE MARIA LISBOA, RUA SAO PAULO SP",-23.5699897,-46.6512614,Point,-46.6512614,-23.5699897
4660,D031300266,12165,"LUIS ANTONIO, AV BRIG",15146,"OSORIO DUQUE ESTRADA, RUA",0,,15/03/2013 16:00,4,AT,78,2153,C, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12165,"LUIS ANTONIO, AV BRIG",15146,"OSORIO DUQUE ESTRADA, RUA",44,JARDIM PAULISTA,1,0,"LUIS ANTONIO, AV BRIG SAO PAULO SP &  OSORIO DUQUE ESTRADA, RUA SAO PAULO SP",-23.5699897,-46.6512614,Point,-46.6512614,-23.5699897
9249,D051300263,12165,"LUIS ANTONIO, AV BRIG",16010,"PEDROSO, RUA",0,,16/05/2013 19:30,4,AT,78,4146, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12165,"LUIS ANTONIO, AV BRIG",16010,"PEDROSO, RUA",7,BELA VISTA,1,0,"LUIS ANTONIO, AV BRIG SAO PAULO SP &  PEDROSO, RUA SAO PAULO SP",-23.5699897,-46.6512614,Point,-46.6512614,-23.5699897
9806,D051300268,12165,"LUIS ANTONIO, AV BRIG",3581,"BRASIL, AV",0,,24/05/2013 13:09,4,AT,78,4415,B, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3581,"BRASIL, AV",12165,"LUIS ANTONIO, AV BRIG",44,JARDIM PAULISTA,1,0,"LUIS ANTONIO, AV BRIG SAO PAULO SP &  BRASIL, AV SAO PAULO SP",-23.5699897,-46.6512614,Point,-46.6512614,-23.5699897
6389,D041300281,12165,"LUIS ANTONIO, AV BRIG",6651,"ESTADOS UNIDOS, RUA",0,,08/04/2013 07:10,2,CO,78,2779, , ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10629,"ESTENIO ALBUQUERQUE LIMA, AV MAL",12165,"LUIS ANTONIO, AV BRIG",53,MOEMA,1,0,"LUIS ANTONIO, AV BRIG SAO PAULO SP &  ESTADOS UNIDOS, RUA SAO PAULO SP",-23.5699897,-46.6512614,Point,-46.6512614,-23.5699897
6390,D041302216,12165,"LUIS ANTONIO, AV BRIG",6651,"ESTADOS UNIDOS, RUA",0,,08/04/2013 07:10,2,CO,14,3370, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10629,"ESTENIO ALBUQUERQUE LIMA, AV MAL",12165,"LUIS ANTONIO, AV BRIG",53,MOEMA,0,1,"LUIS ANTONIO, AV BRIG SAO PAULO SP &  ESTADOS UNIDOS, RUA SAO PAULO SP",-23.5699897,-46.6512614,Point,-46.6512614,-23.5699897
1579,D011301120,19152,"TREZE DE MAIO, LGO",NA,,468,,30/01/2013 14:26,2,QD,11,1118, , ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19152,"TREZE DE MAIO, LGO",NA,,29,FREGUESIA DO O,1,0,"TREZE DE MAIO, LGO 468 SAO PAULO SP",-23.5573707,-46.6465522,Point,-46.6465522,-23.5573707
4929,D031300437,12651,"MANUEL DA NOBREGA, RUA",NA,,111,,19/03/2013 10:30,2,CO,36,1509, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12651,"MANUEL DA NOBREGA, RUA",NA,,53,MOEMA,2,0,"MANUEL DA NOBREGA, RUA 111 SAO PAULO SP",-23.5686808,-46.6491168,Point,-46.6491168,-23.5686808
5847,D041300087,5245,"CONSOLACAO, RUA DA",NA,,1700,,01/04/2013 11:54,4,AT,4,2392, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5245,"CONSOLACAO, RUA DA",NA,,26,CONSOLACAO,2,0,"CONSOLACAO, RUA DA 1700 SAO PAULO SP",-23.5514628,-46.6570524,Point,-46.6570524,-23.5514628
8760,D051300087,13984,"MINAS GERAIS, RUA",NA,,136,,10/05/2013 09:45,2,QD,4,3332, , ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13984,"MINAS GERAIS, RUA",NA,,26,CONSOLACAO,1,0,"MINAS GERAIS, RUA 136 SAO PAULO SP",-23.5536455,-46.6632681,Point,-46.6632681,-23.5536455
3498,D031300106,12165,"LUIS ANTONIO, AV BRIG",NA,,1818,,01/03/2013 06:50,4,AT,5,342, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12165,"LUIS ANTONIO, AV BRIG",NA,,7,BELA VISTA,2,0,"LUIS ANTONIO, AV BRIG 1818 SAO PAULO SP",-23.5627117,-46.6455294,Point,-46.6455294,-23.5627117
3319,D021300209,12165,"LUIS ANTONIO, AV BRIG",NA,,2699,,26/02/2013 09:00,2,QD,78,1538, , ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12165,"LUIS ANTONIO, AV BRIG",NA,,7,BELA VISTA,1,0,"LUIS ANTONIO, AV BRIG 2699 SAO PAULO SP",-23.5705186,-46.6518114,Point,-46.6518114,-23.5705186
5945,D041300277,2497,"AUGUSTA, RUA",NA,,2700,,02/04/2013 13:48,4,AT,78,2577, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497,"AUGUSTA, RUA",NA,,26,CONSOLACAO,1,0,"AUGUSTA, RUA 2700 SAO PAULO SP",-23.5644781,-46.6668702,Point,-46.6668702,-23.5644781
1935,D021300058,5245,"CONSOLACAO, RUA DA",NA,,3106,,04/02/2013 18:00,4,AT,4,935, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5245,"CONSOLACAO, RUA DA",NA,,26,CONSOLACAO,1,0,"CONSOLACAO, RUA DA 3106 SAO PAULO SP",-23.5597412,-46.6672954,Point,-46.6672954,-23.5597412
